"concept_id","owner_kind","owner_path","owner_key","current_rendered_value","parameter_identity","source_object","source_object_sha256"
"paramCostBehaviourContact","latex_macro","output/model-results.tex","paramCostBehaviourContact","327","Behavioural-support contact unit cost, Helfo A3a + 1 x A3b (NOK)","R/00-parameters.R","18c62d15017302f2f62032ee4730b95c6e46d6480692387c3c88f30d55d1656d"
"paramCostBehaviourAnnual","latex_macro","output/model-results.tex","paramCostBehaviourAnnual","3,630","Annual behavioural-support cost (NOK/year)","R/00-parameters.R","18c62d15017302f2f62032ee4730b95c6e46d6480692387c3c88f30d55d1656d"
"paramCostProgrammeCycle","latex_macro","output/model-results.tex","paramCostProgrammeCycle","1,770","Programme cost per active monthly cycle, before occupancy and discounting (NOK)","R/00-parameters.R","18c62d15017302f2f62032ee4730b95c6e46d6480692387c3c88f30d55d1656d"
"paramCostSessionExtended","latex_macro","output/model-results.tex","paramCostSessionExtended","1,827","Extended-perspective exercise cost per contact (NOK)","R/00-parameters.R","18c62d15017302f2f62032ee4730b95c6e46d6480692387c3c88f30d55d1656d"
"paramCostSessionHealthcare","latex_macro","output/model-results.tex","paramCostSessionHealthcare","1,266","Base-case healthcare session cost, DMP-adjusted tariff (NOK)","R/00-parameters.R","18c62d15017302f2f62032ee4730b95c6e46d6480692387c3c88f30d55d1656d"
"paramCostSessionTariffBare","latex_macro","output/model-results.tex","paramCostSessionTariffBare","633","Bare Helfo A3 session tariff, before the DMP adjustment (NOK)","R/00-parameters.R","18c62d15017302f2f62032ee4730b95c6e46d6480692387c3c88f30d55d1656d"
"ssaICERstepWane","latex_macro","output/model-results.tex","ssaICERstepWane","−119,285","SSA ICER: step waning at year 5","output/tables/structural_sa_results.csv","aaf9636f28dd37a4a914d06f7b60a8697d13d64a11054501366a5a25308ea8ff"
"ssaICERlinearWane","latex_macro","output/model-results.tex","ssaICERlinearWane","−61,057","SSA ICER: linear waning years 3-10","output/tables/structural_sa_results.csv","aaf9636f28dd37a4a914d06f7b60a8697d13d64a11054501366a5a25308ea8ff"
"ssaICERtenYr","latex_macro","output/model-results.tex","ssaICERtenYr","11,907","SSA ICER: 10-year time horizon","output/tables/structural_sa_results.csv","aaf9636f28dd37a4a914d06f7b60a8697d13d64a11054501366a5a25308ea8ff"
"ssaICERtwentyYr","latex_macro","output/model-results.tex","ssaICERtwentyYr","20,368","SSA ICER: 20-year time horizon","output/tables/structural_sa_results.csv","aaf9636f28dd37a4a914d06f7b60a8697d13d64a11054501366a5a25308ea8ff"
"ssaICERpmin","latex_macro","output/model-results.tex","ssaICERpmin","21,343","SSA ICER: pmin mortality method","output/tables/structural_sa_results.csv","aaf9636f28dd37a4a914d06f7b60a8697d13d64a11054501366a5a25308ea8ff"
"ssaICERdrugDiscount","latex_macro","output/model-results.tex","ssaICERdrugDiscount","39,576","SSA ICER: 40% drug discount scenario","output/tables/structural_sa_results.csv","aaf9636f28dd37a4a914d06f7b60a8697d13d64a11054501366a5a25308ea8ff"
"ssaICERageSeventyFour","latex_macro","output/model-results.tex","ssaICERageSeventyFour","−1,282,906","SSA ICER: age 74 subgroup","output/tables/structural_sa_results.csv","aaf9636f28dd37a4a914d06f7b60a8697d13d64a11054501366a5a25308ea8ff"
"ssaIncrQALYageSeventyFour","latex_macro","output/model-results.tex","ssaIncrQALYageSeventyFour","0.049","SSA incremental QALYs: age 74 subgroup","output/tables/structural_sa_results.csv","aaf9636f28dd37a4a914d06f7b60a8697d13d64a11054501366a5a25308ea8ff"
"ssaICERfullAdherence","latex_macro","output/model-results.tex","ssaICERfullAdherence","89,739","SSA ICER: full adherence scenario","output/tables/structural_sa_results.csv","aaf9636f28dd37a4a914d06f7b60a8697d13d64a11054501366a5a25308ea8ff"
"ssaICERdfsGengamma","latex_macro","output/model-results.tex","ssaICERdfsGengamma","55,844","SSA ICER: generalised-gamma DFS survival specification","output/tables/structural_sa_results.csv","aaf9636f28dd37a4a914d06f7b60a8697d13d64a11054501366a5a25308ea8ff"
"ssaNtested","latex_macro","output/model-results.tex","ssaNtested","25","Structural SA: named scenarios tested (excl. base case)","output/tables/structural_sa_results.csv","aaf9636f28dd37a4a914d06f7b60a8697d13d64a11054501366a5a25308ea8ff"
"ssaNcompleted","latex_macro","output/model-results.tex","ssaNcompleted","24","Structural SA: named scenarios completed (finite ICER)","output/tables/structural_sa_results.csv","aaf9636f28dd37a4a914d06f7b60a8697d13d64a11054501366a5a25308ea8ff"
"ssaNfailed","latex_macro","output/model-results.tex","ssaNfailed","1","Structural SA: named scenarios failed (NA ICER)","output/tables/structural_sa_results.csv","aaf9636f28dd37a4a914d06f7b60a8697d13d64a11054501366a5a25308ea8ff"
"ssaNcostEffective","latex_macro","output/model-results.tex","ssaNcostEffective","24","Structural SA: completed scenarios cost-effective vs own sev_reference (F2)","output/tables/structural_sa_results.csv","aaf9636f28dd37a4a914d06f7b60a8697d13d64a11054501366a5a25308ea8ff"
"ssaINMBmin","latex_macro","output/model-results.tex","ssaINMBmin","53,144","Structural SA: minimum scenario INMB at its own severity-weighted threshold (NOK)","output/tables/structural_sa_results.csv","aaf9636f28dd37a4a914d06f7b60a8697d13d64a11054501366a5a25308ea8ff"
"ssaINMBbase","latex_macro","output/model-results.tex","ssaINMBbase","317,672","Structural SA: base-case INMB at the base-case severity-weighted threshold (NOK)","output/tables/structural_sa_results.csv","aaf9636f28dd37a4a914d06f7b60a8697d13d64a11054501366a5a25308ea8ff"
"ssaINMBminFloor","latex_macro","output/model-results.tex","ssaINMBminFloor","53,144","Structural SA: minimum scenario INMB at the derived opportunity-cost floor threshold (NOK)","output/tables/structural_sa_results.csv","aaf9636f28dd37a4a914d06f7b60a8697d13d64a11054501366a5a25308ea8ff"
"powsaINMBrangeHRos","latex_macro","output/model-results.tex","powsaINMBrangeHRos","148,849","POWSA INMB range: HR OS (NOK)","output/tables/owpsa_v7_results.csv","ab8c1b02179380f620a6c7f71650c2729cdcce2edb60965ee03ac2b15e66c86c"
"powsaINMBrangeHRdfs","latex_macro","output/model-results.tex","powsaINMBrangeHRdfs","396,034","POWSA INMB range: HR DFS (NOK)","output/tables/owpsa_v7_results.csv","ab8c1b02179380f620a6c7f71650c2729cdcce2edb60965ee03ac2b15e66c86c"
"powsaINMBrangeProgressedCost","latex_macro","output/model-results.tex","powsaINMBrangeProgressedCost","18,689","POWSA INMB range: shared progressed-disease annual cost (NOK)","output/tables/owpsa_v7_results.csv","ab8c1b02179380f620a6c7f71650c2729cdcce2edb60965ee03ac2b15e66c86c"
"powsaINMBrangeSurveillanceCost","latex_macro","output/model-results.tex","powsaINMBrangeSurveillanceCost","1,333","POWSA INMB range: shared surveillance annual cost (NOK)","output/tables/owpsa_v7_results.csv","ab8c1b02179380f620a6c7f71650c2729cdcce2edb60965ee03ac2b15e66c86c"
"powsaINMBrangeExerciseCost","latex_macro","output/model-results.tex","powsaINMBrangeExerciseCost","54,832","POWSA INMB range: exercise-programme annual cost (NOK)","output/tables/owpsa_v7_results.csv","ab8c1b02179380f620a6c7f71650c2729cdcce2edb60965ee03ac2b15e66c86c"
"powsaINMBrangeDFSutil","latex_macro","output/model-results.tex","powsaINMBrangeDFSutil","27,360","POWSA INMB range: DFS utility (NOK)","output/tables/owpsa_v7_results.csv","ab8c1b02179380f620a6c7f71650c2729cdcce2edb60965ee03ac2b15e66c86c"
"powsaMinProbCE","latex_macro","output/model-results.tex","powsaMinProbCE","97.0","POWSA minimum P(CE) across all parameter bounds (%)","output/tables/owpsa_v7_results.csv","ab8c1b02179380f620a6c7f71650c2729cdcce2edb60965ee03ac2b15e66c86c"
"powsaMinimumExpectedINMB","latex_macro","output/model-results.tex","powsaMinimumExpectedINMB","93,646","POWSA minimum expected INMB across bounds (NOK)","output/tables/owpsa_v7_results.csv","ab8c1b02179380f620a6c7f71650c2729cdcce2edb60965ee03ac2b15e66c86c"
"powsaMaximumExpectedINMB","latex_macro","output/model-results.tex","powsaMaximumExpectedINMB","489,680","POWSA maximum expected INMB across bounds (NOK)","output/tables/owpsa_v7_results.csv","ab8c1b02179380f620a6c7f71650c2729cdcce2edb60965ee03ac2b15e66c86c"
"psaConvergenceIter","latex_macro","output/model-results.tex","psaConvergenceIter","100","PA convergence: first INMB CI excludes zero (iterations)","data/processed/inmb_convergence.rds","f24011b6a4b1c78f2b4575732a1643a015301dc1380832102eafd5cf2d3fc210"
"psaConvergencePct","latex_macro","output/model-results.tex","psaConvergencePct","4.1","PA ICER stability: 1K vs 10K difference (%)","data/processed/convergence_check.rds","0346c34a96b1363e2f8951b45d4dbc814236238634d339b5beefe2a8365e07ef"
"valDFSctrlFiveYr","latex_macro","output/model-results.tex","valDFSctrlFiveYr","73.1","Model 5-year DFS control arm (%)","data/processed/validation_checks.rds","5052ef632af12719f94ea07008f65eba33696d2ab6e9470308e0009c0bc9ce1f"
"valDFSexFiveYr","latex_macro","output/model-results.tex","valDFSexFiveYr","79.8","Model 5-year DFS exercise arm (%)","data/processed/validation_checks.rds","5052ef632af12719f94ea07008f65eba33696d2ab6e9470308e0009c0bc9ce1f"
"valDFSpubCtrl","latex_macro","output/model-results.tex","valDFSpubCtrl","73.9","Published 5-year DFS control arm (%)","data/processed/validation_checks.rds","5052ef632af12719f94ea07008f65eba33696d2ab6e9470308e0009c0bc9ce1f"
"valDFSpubEx","latex_macro","output/model-results.tex","valDFSpubEx","80.3","Published 5-year DFS exercise arm (%)","data/processed/validation_checks.rds","5052ef632af12719f94ea07008f65eba33696d2ab6e9470308e0009c0bc9ce1f"
"valDFSctrlGap","latex_macro","output/model-results.tex","valDFSctrlGap","0.8","Validation gap: 5-year DFS control (percentage points)","data/processed/validation_checks.rds","5052ef632af12719f94ea07008f65eba33696d2ab6e9470308e0009c0bc9ce1f"
"valDFSexGap","latex_macro","output/model-results.tex","valDFSexGap","0.5","Validation gap: 5-year DFS exercise (percentage points)","data/processed/validation_checks.rds","5052ef632af12719f94ea07008f65eba33696d2ab6e9470308e0009c0bc9ce1f"
"valEVTidenticalQALY","latex_macro","output/model-results.tex","valEVTidenticalQALY","10.2497","Extreme value, no treatment effect: QALYs per arm (arms identical)","output/validation/extreme-value-results.csv","dc17bfeb2bd96d06e88960864771e09c4959bebec31d9226393df200f67015f7"
"valEVTnoEffectIncrCost","latex_macro","output/model-results.tex","valEVTnoEffectIncrCost","53,538","Extreme value, no treatment effect: incremental cost (NOK)","output/validation/extreme-value-results.csv","dc17bfeb2bd96d06e88960864771e09c4959bebec31d9226393df200f67015f7"
"valEVTzeroCostSaving","latex_macro","output/model-results.tex","valEVTzeroCostSaving","22,651","Extreme value, zero intervention cost: magnitude of the saving (NOK)","output/validation/extreme-value-results.csv","dc17bfeb2bd96d06e88960864771e09c4959bebec31d9226393df200f67015f7"
"valEVTzeroCostQALY","latex_macro","output/model-results.tex","valEVTzeroCostQALY","0.9102","Extreme value, zero intervention cost: incremental QALYs","output/validation/extreme-value-results.csv","dc17bfeb2bd96d06e88960864771e09c4959bebec31d9226393df200f67015f7"
"valEVTzeroUtilQALY","latex_macro","output/model-results.tex","valEVTzeroUtilQALY","0","Extreme value, zero utilities: QALYs per arm","output/validation/extreme-value-results.csv","dc17bfeb2bd96d06e88960864771e09c4959bebec31d9226393df200f67015f7"
"valEVTzeroUtilCostPerLY","latex_macro","output/model-results.tex","valEVTzeroUtilCostPerLY","28,576","Extreme value, zero utilities: incremental cost per life-year (NOK)","output/validation/extreme-value-results.csv","dc17bfeb2bd96d06e88960864771e09c4959bebec31d9226393df200f67015f7"
"valStateOccupancy","latex_macro","output/model-results.tex","valStateOccupancy","1.0000","Validation: state-occupancy sum, every cycle and both arms","data/processed/validation_checks.rds","5052ef632af12719f94ea07008f65eba33696d2ab6e9470308e0009c0bc9ce1f"
"valBICdfsLognormal","latex_macro","output/model-results.tex","valBICdfsLognormal","994.8","BIC: DFS log-normal (control arm)","output/tables/aic_bic_comparison.csv","a8aa48b54a77c95c2f5eaed860e106f2380f866160f8561425a6de4682c5c601"
"valBICdfsGenGamma","latex_macro","output/model-results.tex","valBICdfsGenGamma","992.7","BIC: DFS generalised gamma (control arm)","output/tables/aic_bic_comparison.csv","a8aa48b54a77c95c2f5eaed860e106f2380f866160f8561425a6de4682c5c601"
"valBICdfsDiff","latex_macro","output/model-results.tex","valBICdfsDiff","2.2","BIC difference: DFS log-normal minus gen. gamma","output/tables/aic_bic_comparison.csv","a8aa48b54a77c95c2f5eaed860e106f2380f866160f8561425a6de4682c5c601"
